"WHOREGION","MMWR_WEEKSTARTDATE","TOT_INF_B"
"AFR",2023-05-07,11
"AFR",2023-05-14,28
"AFR",2023-05-21,17
"AFR",2023-05-28,19
"AFR",2023-06-04,30
"AFR",2023-06-11,25
"AFR",2023-06-18,29
"AFR",2023-06-25,17
"AFR",2023-07-02,30
"AFR",2023-07-09,26
"AFR",2023-07-16,40
"AFR",2023-07-23,44
"AFR",2023-07-30,38
"AFR",2023-08-06,65
"AFR",2023-08-13,41
"AFR",2023-08-20,41
"AFR",2023-08-27,13
"AFR",2023-09-03,15
"AFR",2023-09-10,43
"AFR",2023-09-17,26
"AFR",2023-09-24,15
"AFR",2023-10-01,15
"AFR",2023-10-08,29
"AFR",2023-10-15,42
"AFR",2023-10-22,18
"AFR",2023-10-29,18
"AFR",2023-11-05,31
"AFR",2023-11-12,17
"AFR",2023-11-19,26
"AFR",2023-11-26,22
"AFR",2023-12-03,6
"AFR",2023-12-10,10
"AFR",2023-12-17,6
"AFR",2023-12-24,17
"AFR",2023-12-31,10
"AFR",2024-01-07,24
"AFR",2024-01-14,22
"AFR",2024-01-21,10
"AFR",2024-01-28,5
"AFR",2024-02-04,10
"AFR",2024-02-11,8
"AMR",2023-05-07,1662
"AMR",2023-05-14,1503
"AMR",2023-05-21,1378
"AMR",2023-05-28,1254
"AMR",2023-06-04,968
"AMR",2023-06-11,828
"AMR",2023-06-18,698
"AMR",2023-06-25,609
"AMR",2023-07-02,564
"AMR",2023-07-09,480
"AMR",2023-07-16,408
"AMR",2023-07-23,432
"AMR",2023-07-30,413
"AMR",2023-08-06,410
"AMR",2023-08-13,487
"AMR",2023-08-20,414
"AMR",2023-08-27,413
"AMR",2023-09-03,406
"AMR",2023-09-10,453
"AMR",2023-09-17,538
"AMR",2023-09-24,495
"AMR",2023-10-01,591
"AMR",2023-10-08,640
"AMR",2023-10-15,742
"AMR",2023-10-22,781
"AMR",2023-10-29,961
"AMR",2023-11-05,1559
"AMR",2023-11-12,1767
"AMR",2023-11-19,1737
"AMR",2023-11-26,2225
"AMR",2023-12-03,2784
"AMR",2023-12-10,3976
